"BehaviorSpace results (NetLogo 6.2.0)"
"Emergent_Sensing_Accel.nlogo"
"light_count_pop"
"06/17/2021 16:54:34:708 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"max-cohere-turn","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"flock-detection-range","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"noise-stddev","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"max-separate-turn","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"minimum-separation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"speed-stddev","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"population","50","50","50","50","50","150","150","150","150","150","250","250","250","250","250","350","350","350","350","350","450","450","450","450","450"
"FOV","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270"
"update-freq","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"max-vision","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"topo","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"max-align-turn","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

"[initial & final values]","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count"
,"2288.615030572579","2517.5619665052686","1981.4414087792736","2241.454653150544","2090.740470291833","6185.831771385985","6529.494505027709","7735.138438602623","7464.300687017559","7271.150527750902","10411.449578889296","11416.643982876265","10841.994403543247","10944.854585906283","10619.44391655863","16462.893089297202","16884.325674038933","14998.65899754025","16391.390019437353","16351.49550743109","20113.32258522488","20137.107690856606","20021.0880682039","21019.208330919653","24162.413822193183"
