[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
max-cohere-turn,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
flock-detection-range,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
noise-stddev,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
max-separate-turn,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
minimum-separation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed-stddev,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
population,1,1,2,2,4,4,8,8,16,16,32,32,64,64,128,128
FOV,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
update-freq,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
max-vision,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
topo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
max-align-turn,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[steps],200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
[initial & final values],light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count,light_count
,0,2.179189425158998,0,0,0,12.188705373145018,3.565859076308349,12.165789681779248,19.90029228881375,14.421093652980488,32.67408840283104,46.31131956110972,63.53894580477049,40.0787055381243,174.71145702379152,28.274128214734624
