"BehaviorSpace results (NetLogo 6.2.0)"
"Emergent_Sensing_Accel.nlogo"
"experiment"
"06/18/2021 14:30:37:059 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1"
"max-cohere-turn","12.5"
"flock-detection-range","3"
"noise-stddev","0.5"
"max-separate-turn","1.5"
"minimum-separation","1"
"speed","1"
"speed-stddev","10"
"population","1"
"FOV","270"
"update-freq","4"
"max-vision","10"
"topo","5"
"max-align-turn","0.25"
"[steps]","200"

"[initial & final values]","light_count"
,"315.29638465274166"
