"BehaviorSpace results (NetLogo 6.2.0)"
"Emergent_Sensing_Accel.nlogo"
"light_count_pop"
"06/17/2021 18:49:49:815 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"max-cohere-turn","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"flock-detection-range","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"noise-stddev","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"max-separate-turn","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"minimum-separation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"speed-stddev","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"population","1","1","2","2","4","4","8","8","16","16","32","32","64","64","128","128"
"FOV","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270"
"update-freq","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"max-vision","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"topo","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"max-align-turn","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

"[initial & final values]","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count","light_count"
,"7.89976236089968","2.8081758717896568","1.4619478622366349","32.342532835818396","30.72980091197184","22.179979119801704","48.09534444277465","149.8975538116424","76.82630581706599","318.2340136423309","98.24499459460074","157.96328176624252","236.75169117989395","639.1897955581692","1554.3701926257568","1155.3531980714208"
